Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 10 - Feature 18	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.136364	1.995432	0.430363	0.818182	0.227273	77	107	98.787879	101	6520	Histogram-19.csv
Measurement 10 - Feature 19	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.47314	6.010637	0.164573	0.409091	2.681818	68	122	99.71179	103	22834	Histogram-20.csv
Measurement 10 - Feature 20	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.194215	2.56066	0.37221	0.454545	1.045455	63	107	95.425532	99	8970	Histogram-21.csv
Measurement 10 - Feature 21	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.188017	2.542778	0.365417	0.590909	1	56	123	99.681319	104	9071	Histogram-22.csv
Measurement 10 - Feature 22	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.299587	3.826143	0.257164	1.363636	1.181818	67	121	101.455172	103	14711	Histogram-23.csv
Measurement 10 - Feature 23	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.543388	6.81283	0.147118	2.818182	1.227273	72	134	100.798479	104	26510	Histogram-24.csv
Measurement 10 - Feature 24	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.588843	4.103439	0.439454	1.136364	1.454545	78	126	102.059649	105	29087	Histogram-25.csv
Measurement 10 - Feature 25	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.035124	0.736018	0.814774	0.227273	0.227273	58	105	92.176471	96	1567	Histogram-26.csv
Measurement 10 - Feature 26	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.080579	1.228219	0.67124	0.272727	0.454545	61	107	94.974359	98	3704	Histogram-27.csv
Measurement 10 - Feature 27	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.330579	4.183319	0.237379	0.909091	1.681818	80	116	101.4625	104	16234	Histogram-28.csv
Measurement 10 - Feature 28	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.214876	3.057038	0.288932	1.181818	0.772727	106	134	112.211538	109	11670	Histogram-29.csv
Measurement 10 - Feature 29	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.303719	3.977158	0.241288	1.590909	0.863636	84	132	106.129252	107	15601	Histogram-30.csv
Measurement 10 - Feature 30	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.456612	5.994648	0.159672	1.863636	1.772727	83	131	108.963801	107	24081	Histogram-31.csv
Measurement 10 - Feature 31	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.272727	2.132741	0.753463	0.772727	0.5	95	133	107.515152	107	14192	Histogram-32.csv
Measurement 10 - Feature 32	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.117769	1.707107	0.50783	0.681818	0.318182	64	120	102.877193	107	5864	Histogram-33.csv
Measurement 10 - Feature 33	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.208678	2.968413	0.297603	0.863636	1	98	122	106.70297	106	10777	Histogram-34.csv
